X,Y,OBJECTID,Name,Address1,Address2,Address3,Address4,Phone,Email,Website,Type,Category,Opening_Hours,Directions,Surface_Type,Comments,Accessible_Play_Items,Disabled_Parking,Park_Ranger,Toilets,Disabled_Toilets,Baby_Changing,Seating,Drinking_Water,MapLInk,PhotoLink,GlobalID
723892.0653,740461.5088,1,Racecourse Park,Red Arches Road,Baldoyle,Dublin 13,,+353 1 8905649,parks@fingalcoco.ie,,Playground,Neighbourhood,,No information on website,Rubber wet pour,,,No,,No,No,No,,No,,,6e78da92-d184-4170-a4c4-57baf8b93eed
724487.7385,739715.9695,2,Moyclare,Moyclare Road,Baldoyle,Dublin 13,,+353 1 8905649,parks@fingalcoco.ie,,Playground,Local,November to January: 10.00am - 5.00pm February to March  10.00am - 6.00pm April    10.00am - 7.00pm   May    10.00am - 8.00pm June to August  10.00am  - 9.00pm September   10.00am - 8.00pm October    10.00am - 7.00pm,No information on website,Rubber wet pour,open,None,No,No ranger present,No,No,No,,No,,,7600fa84-edd9-4056-b04e-e17f97d5eb7b
722046.8884,761052.2829,3,Ardgillan Demesne,Balbriggan,Co. Dublin,,,+353 1 8905649,parks@fingalcoco.ie,,Playground,Regional,November to January: 10.00am - 5.00pm February to March  10.00am - 6.00pm April    10.00am - 7.00pm   May    10.00am - 8.00pm June to August  10.00am  - 9.00pm September   10.00am - 8.00pm October    10.00am - 7.00pm,The Park is located between Skerries and Balbriggan.By Car: Signposted from the M1/N1 Dublin-Belfast road to Balbriggan. By Bus: Bus 33 from Eden Quay in  Dublin city centre.  The bus passes under Ladies Stairs footbridge entrance to the park 3.5 Km north of Skerries. By Train: 4 Km walk from Balbriggan Station on the Dublin to Drogheda line.,Rubber wet pour,subject to opening times of park,Accessible Cradle Swing,Yes,Ranger present,Yes,Yes,Yes,Yes,Yes,,http://fusion.fingalcoco.ie/localview/images/Ardgillan demesne.jpg,0e6b5c26-2d6a-4f54-baed-ab2e08570dfc
718277.251,747681.129899999,4,Balheary,Balheary Road,Swords,Co. Dublin,,+353 1 8905649,parks@fingalcoco.ie,,Multi Use Games Area,Local,November to January: 10.00am - 5.00pm February to March  10.00am - 6.00pm April    10.00am - 7.00pm   May    10.00am - 8.00pm June to August  10.00am  - 9.00pm September   10.00am - 8.00pm October    10.00am - 7.00pm,No information on website,Grass Matting,open,None,No,No ranger present,No,No,No,,No,,,5b75e11d-4c66-4bc5-9589-36d330669bc3
718276.9397,747646.8851,5,Balheary,Balheary Road,Swords,Co. Dublin,,+353 1 8905649,parks@fingalcoco.ie,,Skatepark,Local,November to January: 10.00am - 5.00pm February to March  10.00am - 6.00pm April    10.00am - 7.00pm   May    10.00am - 8.00pm June to August  10.00am  - 9.00pm September   10.00am - 8.00pm October    10.00am - 7.00pm,No information on website,Concrete,open,None,No,No ranger present,No,No,No,,No,,,8c752c0c-74aa-4171-af9f-5f62d7ba802e
723859.9571,739423.9723,6,Bayside,Bayside Park,Sutton,Dublin 13,,+353 1 8905649,parks@fingalcoco.ie,,Playground,Local,November to January: 10.00am - 5.00pm February to March  10.00am - 6.00pm April    10.00am - 7.00pm   May    10.00am - 8.00pm June to August  10.00am  - 9.00pm September   10.00am - 8.00pm October    10.00am - 7.00pm,No information on website,Rubber wet pour,open,None,No,No ranger present,No,No,No,,No,,,62c326d2-30b6-4d9f-af3e-f41f5a72bdf9
704774.5273,737971.293099999,7,Beechpark,Clonsilla,Dublin 15,,,+353 1 8905649,parks@fingalcoco.ie,,Playground,Neighbourhood,November to January: 10.00am - 5.00pm February to March  10.00am - 6.00pm April    10.00am - 7.00pm   May    10.00am - 8.00pm June to August  10.00am  - 9.00pm September   10.00am - 8.00pm October    10.00am - 7.00pm,No information on website,Bark chip,public,Basket Swing,Yes,Ranger present,No,No,No,Yes,No,,,c483245f-2cd3-4a0f-a0d5-5423d8a84dac
717387.7913,745749.3584,8,Boro Court,Forrest Road,Swords,Co. Dublin,,+353 1 8905649,parks@fingalcoco.ie,,Playground,Local,November to January: 10.00am - 5.00pm February to March  10.00am - 6.00pm April    10.00am - 7.00pm   May    10.00am - 8.00pm June to August  10.00am  - 9.00pm September   10.00am - 8.00pm October    10.00am - 7.00pm,No information on website,Rubber wet pour,open,None,No,No ranger present,No,No,No,,No,,,391cace9-7060-46da-8a15-8c5bef345f76
719597.7862,764048.0515,9,Chapel Estate,Chapel Close,Balbriggan,Co. Dublin,,+353 1 8905649,parks@fingalcoco.ie,,Playground,Neighbourhood,November to January: 10.00am - 5.00pm February to March  10.00am - 6.00pm April    10.00am - 7.00pm   May    10.00am - 8.00pm June to August  10.00am  - 9.00pm September   10.00am - 8.00pm October    10.00am - 7.00pm,No information on website,Rubber wet pour,open,Basket Swing,No,No ranger present,No,No,No,,No,,http://fusion.fingalcoco.ie/localview/images/Chapel estate.jpg,1ff6a618-cca4-415b-93be-bb2892940c59
708202.0794,736730.7457,10,Collegefort,Castleknock,Dublin 15,,,+353 1 8905649,parks@fingalcoco.ie,,Playground,Local,November to January: 10.00am - 5.00pm February to March  10.00am - 6.00pm April    10.00am - 7.00pm   May    10.00am - 8.00pm June to August  10.00am  - 9.00pm September   10.00am - 8.00pm October    10.00am - 7.00pm,No information on website,Rubber wet pour,not in charge,None,No,No ranger present,No,No,No,,No,,,a2a202e3-cdc2-43df-9801-f9668441000a
